price,area,location
4998990,,Soshanguve F
,,
650000,,Soshanguve CC
,,
1300000,,Kirkney
,,
788000,,Protea Glen
,,
500000,,Pretoria West
,,
735000,,Wingate Park
,,
5995000,,Theresapark
,,
675800,,Rynfield
,,
1980000,,Edendale
,,
1054823,,Crystal Park
,,
2799999,,Mohlakeng
,,
10750000,,Crystal Park
,,
2950000,,Culemborg Park
,,
5400000,,Mooilande
,,
1785000,,Atholl
,,
3400000,,Vorna Valley
,,
2999000,,Bram Fischerville
,,
4199000,,Orange Grove
,,
12000000,,Melrose
,,
350000,,Sonland Park
,,
1290000,,Kungwini Country Estate
,,
675000,,Karenpark
,,
700000,,Evaton Central
,,
3200000,,Heatherview
,,
2961000,,Buurendal
,,
1690000,,Rietvalleirand
,,
680000,,Albertsdal
,,
0,,Steyn City
,,
0,,Eye Of Africa Estate
,,
2549000,,Beverley
,,
3500000,,Capital Park
,,
1450000,,Fochville
,,
1752000,,Valley View Estate
,,
699999,,Hurlingham
,,
2650000,,Soshanguve East Ext 4
,,
1234900,,Danville
,,
400000,,Dinokeng Game Reserve
,,
699000,,Shalimar Ridge
,,
708000,,Pretoria North
,,
5690000,,Ferndale
,,
2499000,,Edenburg
,,
1710000,,Cosmo City
,,
1775000,,Rua Vista
,,
710000,,Constantia Kloof
,,
1370000,,Orange Grove
,,
1150000,,Dalpark Ext 1
,,
907952,,Golf Park
,,
1345000,,Lenasia South
,,
4599000,,Midstream Ridge Estate
,,
2350000,,Kenmare
,,
999999,,Capital Park
,,
999000,,Tshepisong
,,
6480000,,Kempton Park West
,,
4800000,,Arcadia
,,
1895000,,Birchleigh North
,,
855000,,Aston Lake
,,
14995000,,Pretoria West
,,
280000,,Protea North
,,
1985000,,Regents Park
,,
1599000,,Krugersdorp Central
,,
2280000,,Vosloorus
,,
1399000,,Faerie Glen
,,
2895000,,Three Rivers
,,
2998000,,Westonaria
,,
3250000,,Van Riebeeck Park
,,
1200000,,Lombardy Estate
,,
950000,,Eden Glen
,,
1380000,,Dainfern Golf Estate
,,
740000,,Soshanguve JJ
,,
1600000,,The Reeds
,,
4240000,,Copperleaf Estate
,,
630000,,Vanderbijlpark Central
,,
1350000,,Kwa Thema
,,
2945000,,Symhurst
,,
760000,,The Orchards
,,
1285000,,Wentworth Park
,,
1104190,,Parkhurst
,,
550000,,Soshanguve South
,,
1095000,,Riversdale
,,
1950000,,Soshanguve G
,,
2995000,,Roodekrans
,,
2200000,,Jordaan Park
,,
1849000,,Wapadrand
,,
1780000,,Windmill Park
,,
8000000,,Freeway Park
,,
6600000,,Edleen
,,
4780000,,Boardwalk Manor
,,
3995000,,Bedfordview
,,
955000,,Constantia Kloof
,,
1250000,,Van Der Merwes Kroon
,,
1499000,,Vanderbijlpark CE 4
,,
2999950,,Kensington
,,
4150000,,Ormonde
,,
5500000,,Eligwa Estate
,,
2699000,,Eye Of Africa Estate
,,
1900000,,Midstream Heights
,,
1800000,,Carletonville Central
,,
3750000,,Protea Glen
,,
4526000,,Pretoria West
,,
1750000,,Dainfern
,,
2700000,,Halfway Gardens
,,
1428000,,Randpoort
,,
495000,,Sunninghill
,,
785000,,Salfin
,,
789000,,Erasmus
,,
840000,,Farrarmere
,,
659000,,Riverside View Ext 30
,,
899000,,Clarina
,,
1100000,,Florauna
,,
2700000,,Fourways Gardens
,,
840000,,Hyde Park
,,
3455000,,Summerset
,,
1690000,,Sinoville
,,
970000,,Soshanguve A
,,
2195000,,Vanderbijlpark SW 1
,,
950000,,Brooklands Lifestyle Estate
,,
1074000,,Tembisa Central
,,
916000,,Roodeplaat
,,
2499000,,Monument Park
,,
1750000,,Comet
,,
825000,,Leeuwfontein
,,
2595000,,Kyalami
,,
2790000,,Morganridge
,,
880000,,River Club
,,
1199000,,Meyersdal
,,
520000,,Houghton Estate
,,
2790000,,Petersfield
,,
1995000,,Heatherview
,,
9995000,,Midstream Estate
,,
840000,,Norwood
,,
485000,,Rynfield
,,
9950000,,Kempton Park Ext 2
,,
2399000,,Silver Lakes Golf Estate
,,
5750000,,Rooihuiskraal North
,,
795000,,Northcliff
,,
2300000,,Vosloorus
,,
1080000,,Soshanguve BB
,,
1590000,,Krugersdorp West
,,
752000,,Eldoraigne
,,
5650000,,Dobsonville Ext 2
,,
3800000,,Murrayfield
,,
7490000,,Protea Glen
,,
1649000,,Montana Tuine
,,
1349000,,Lawley
,,
699000,,Quellerie Park
,,
2999000,,Witpoortjie
,,
1102175,,Boksburg Central
,,
2600000,,Sharon Park
,,
1998899,,Risiville
,,
2690000,,Bryanston
,,
3900000,,Rynfield
,,
1490000,,Kyalami
,,
16500000,,Sonland Park
,,
1749990,,Copperleaf Estate
,,
1380000,,Roodekop
,,
420000,,New Redruth
,,
493000,,Soshanguve East
,,
1900000,,Laudium
,,
990000,,Benmore Gardens
,,
3200000,,Dainfern Valley Estate
,,
1152550,,Doornpoort
,,
3495000,,Erand Gardens
,,
1820000,,Vanderbijlpark CW 1
,,
1350000,,Three Rivers
,,
1645000,,Sebokeng Zone 16
,,
896000,,La Como Lifestyle Estate
,,
4500000,,Westonaria
,,
1420000,,Craigavon
,,
1011500,,Thatchfield Estate
,,
6500000,,North Riding
,,
5500000,,Rose Acres Estate
,,
550000,,Equestria
,,
1700000,,Meadowlands
,,
880000,,Randgate
,,
2300005,,Vanderbijlpark SW 5
,,
3359900,,Doornpoort
,,
1050000,,Palm Ridge
,,
715570,,Helikonpark
,,
5250000,,Montana Park
,,
781715,,Vosloorus Ext 2
,,
1395000,,Kya Sands
,,
899000,,Boksburg Central
,,
895000,,Brummeria
,,
895000,,Six Fountains
,,
879000,,Andeon AH
,,
1350000,,Talboton
,,
1340000,,Witpoortjie
,,
1980000,,Montana Park
,,
900000,,Alberton Central
,,
895000,,Raslouw
,,
1699999,,Rietvalleirand
,,
4590000,,Kanana Park
,,
780000,,Georginia
,,
1350000,,Sonland Park
,,
2000000,,Parkwood
,,
3550000,,Highbury
,,
1235000,,Soshanguve VV
,,
1599000,,Bergsig
,,
679000,,Vanderbijlpark SE 3
,,
1500000,,Sunward Park
,,
18500000,,Midstream Heights
,,
1050000,,Highway Gardens
,,
1780000,,Rosettenville
,,
2299000,,Discovery
,,
2899000,,Bramley
,,
3250000,,Glenvista
,,
1580000,,Boksburg Central
,,
350000,,Pretoria Gardens
,,
1499000,,Robertsham
,,
3690000,,Klippoortjie
,,
7659000,,Benoni West
,,
880000,,Sunward Park
,,
835000,,Dalpark Proper
,,
875150,,Stretford
,,
2950000,,Fourways
,,
4095000,,Mabopane  Unit U
,,
245000,,Soshanguve DD
,,
435000,,Broadacres
,,
739000,,Elsburg
,,
750000,,Melville
,,
4250000,,Zwartkop Golf Estate
,,
4200000,,Kameeldrift East
,,
185000,,Meyerton Ext 6
,,
849000,,Helikonpark
,,
1895000,,Meyerton South
,,
3500000,,Houghton Estate
,,
815560,,Parktown North
,,
