price,area,location
950000,0,Eden Glen
,0,
1380000,0,Dainfern Golf Estate
,0,
740000,0,Soshanguve JJ
,0,
1600000,0,The Reeds
,0,
4240000,0,Copperleaf Estate
,0,
630000,0,Vanderbijlpark Central
,0,
1350000,0,Kwa Thema
,0,
2945000,0,Symhurst
,0,
760000,0,The Orchards
,0,
1285000,0,Wentworth Park
,0,
1104190,0,Parkhurst
,0,
550000,0,Soshanguve South
,0,
1095000,0,Riversdale
,0,
1950000,0,Soshanguve G
,0,
2995000,0,Roodekrans
,0,
2200000,0,Jordaan Park
,0,
1849000,0,Wapadrand
,0,
1780000,0,Windmill Park
,0,
8000000,0,Freeway Park
,0,
6600000,0,Edleen
,0,
4780000,0,Boardwalk Manor
,0,
3995000,0,Bedfordview
,0,
955000,0,Constantia Kloof
,0,
1250000,0,Van Der Merwes Kroon
,0,
1499000,0,Vanderbijlpark CE 4
,0,
2999950,0,Kensington
,0,
4150000,0,Ormonde
,0,
5500000,0,Eligwa Estate
,0,
2699000,0,Eye Of Africa Estate
,0,
1900000,0,Midstream Heights
,0,
1800000,0,Carletonville Central
,0,
3750000,0,Protea Glen
,0,
4526000,0,Pretoria West
,0,
1750000,0,Dainfern
,0,
2700000,0,Halfway Gardens
,0,
1428000,0,Randpoort
,0,
495000,0,Sunninghill
,0,
785000,0,Salfin
,0,
789000,0,Erasmus
,0,
840000,0,Farrarmere
,0,
659000,0,Riverside View Ext 30
,0,
899000,0,Clarina
,0,
1100000,0,Florauna
,0,
2700000,0,Fourways Gardens
,0,
840000,0,Hyde Park
,0,
3455000,0,Summerset
,0,
1690000,0,Sinoville
,0,
970000,0,Soshanguve A
,0,
2195000,0,Vanderbijlpark SW 1
,0,
950000,0,Brooklands Lifestyle Estate
,0,
1074000,0,Tembisa Central
,0,
916000,0,Roodeplaat
,0,
2499000,0,Monument Park
,0,
1750000,0,Comet
,0,
825000,0,Leeuwfontein
,0,
2595000,0,Kyalami
,0,
2790000,0,Morganridge
,0,
880000,0,River Club
,0,
1199000,0,Meyersdal
,0,
520000,0,Houghton Estate
,0,
2790000,0,Petersfield
,0,
1995000,0,Heatherview
,0,
9995000,0,Midstream Estate
,0,
840000,0,Norwood
,0,
485000,0,Rynfield
,0,
9950000,0,Kempton Park Ext 2
,0,
2399000,0,Silver Lakes Golf Estate
,0,
5750000,0,Rooihuiskraal North
,0,
795000,0,Northcliff
,0,
2300000,0,Vosloorus
,0,
1080000,0,Soshanguve BB
,0,
1590000,0,Krugersdorp West
,0,
752000,0,Eldoraigne
,0,
5650000,0,Dobsonville Ext 2
,0,
3800000,0,Murrayfield
,0,
7490000,0,Protea Glen
,0,
1649000,0,Montana Tuine
,0,
1349000,0,Lawley
,0,
699000,0,Quellerie Park
,0,
2999000,0,Witpoortjie
,0,
1102175,0,Boksburg Central
,0,
2600000,0,Sharon Park
,0,
1998899,0,Risiville
,0,
2690000,0,Bryanston
,0,
3900000,0,Rynfield
,0,
1490000,0,Kyalami
,0,
16500000,0,Sonland Park
,0,
1749990,0,Copperleaf Estate
,0,
1380000,0,Roodekop
,0,
420000,0,New Redruth
,0,
493000,0,Soshanguve East
,0,
1900000,0,Laudium
,0,
990000,0,Benmore Gardens
,0,
3200000,0,Dainfern Valley Estate
,0,
1152550,0,Doornpoort
,0,
3495000,0,Erand Gardens
,0,
1820000,0,Vanderbijlpark CW 1
,0,
1350000,0,Three Rivers
,0,
1645000,0,Sebokeng Zone 16
,0,
896000,0,La Como Lifestyle Estate
,0,
4500000,0,Westonaria
,0,
1420000,0,Craigavon
,0,
1011500,0,Thatchfield Estate
,0,
6500000,0,North Riding
,0,
5500000,0,Rose Acres Estate
,0,
550000,0,Equestria
,0,
1700000,0,Meadowlands
,0,
880000,0,Randgate
,0,
2300005,0,Vanderbijlpark SW 5
,0,
3359900,0,Doornpoort
,0,
1050000,0,Palm Ridge
,0,
715570,0,Helikonpark
,0,
5250000,0,Montana Park
,0,
781715,0,Vosloorus Ext 2
,0,
1395000,0,Kya Sands
,0,
899000,0,Boksburg Central
,0,
895000,0,Brummeria
,0,
895000,0,Six Fountains
,0,
879000,0,Andeon AH
,0,
1350000,0,Talboton
,0,
1340000,0,Witpoortjie
,0,
1980000,0,Montana Park
,0,
900000,0,Alberton Central
,0,
895000,0,Raslouw
,0,
1699999,0,Rietvalleirand
,0,
4590000,0,Kanana Park
,0,
780000,0,Georginia
,0,
1350000,0,Sonland Park
,0,
2000000,0,Parkwood
,0,
3550000,0,Highbury
,0,
1235000,0,Soshanguve VV
,0,
1599000,0,Bergsig
,0,
679000,0,Vanderbijlpark SE 3
,0,
1500000,0,Sunward Park
,0,
18500000,0,Midstream Heights
,0,
1050000,0,Highway Gardens
,0,
1780000,0,Rosettenville
,0,
2299000,0,Discovery
,0,
2899000,0,Bramley
,0,
3250000,0,Glenvista
,0,
1580000,0,Boksburg Central
,0,
350000,0,Pretoria Gardens
,0,
1499000,0,Robertsham
,0,
3690000,0,Klippoortjie
,0,
7659000,0,Benoni West
,0,
880000,0,Sunward Park
,0,
835000,0,Dalpark Proper
,0,
875150,0,Stretford
,0,
2950000,0,Fourways
,0,
4095000,0,Mabopane  Unit U
,0,
245000,0,Soshanguve DD
,0,
435000,0,Broadacres
,0,
739000,0,Elsburg
,0,
750000,0,Melville
,0,
4250000,0,Zwartkop Golf Estate
,0,
4200000,0,Kameeldrift East
,0,
185000,0,Meyerton Ext 6
,0,
849000,0,Helikonpark
,0,
1895000,0,Meyerton South
,0,
3500000,0,Houghton Estate
,0,
815560,0,Parktown North
,0,
739000,0,Alexandra East Bank
,0,
2000000,0,Florida Park
,0,
5999000,0,Bryanston
,0,
2495000,0,Marais Steyn Park
,0,
1950000,0,Tembisa Central
,0,
1100000,0,Crystal Park
,0,
1900000,0,Beverley
,0,
1550000,0,Denneoord
,0,
470000,0,Leondale
,0,
1370000,0,North Riding
,0,
9900000,0,Winchester Hills
,0,
6850000,0,Verwoerdpark
,0,
30000000,0,Venterspos
,0,
3350000,0,Glenway Estate
,0,
600000,0,Douglasdale
,0,
1300000,0,Randpark Ridge
,0,
900000,0,Bootha AH
,0,
795000,0,Heidelberg Central
,0,
2295000,0,Cosmo City
,0,
920000,0,Roseacre
,0,
3200000,0,Breaunanda
,0,
799000,0,Olympus AH
,0,
4350000,0,Heritage Hill
,0,
470000,0,Claremont
,0,
3499000,0,Petersfield
,0,
1570000,0,Hesteapark
,0,
1550000,0,Suideroord
,0,
705000,0,Wilro Park
,0,
1800000,0,Duxberry
,0,
2600000,0,Flora Gardens
,0,
299900,0,Dalview
,0,
1799000,0,Forest Hill
,0,
15450000,0,Lenasia Ext 1
,0,
3699000,0,Selection Park
,0,
220000,0,Andeon
,0,
5450000,0,Dawn Park
,0,
450000,0,Dawn Park
,0,
999000,0,Rietvalleirand
,0,
1695000,0,Unitas Park
,0,
2029050,0,Blairgowrie
,0,
750000,0,Florida Park
,0,
1480000,0,Protea Glen
,0,
2550000,0,Fishers Hill
,0,
799900,0,Rabie Ridge
,0,
1500000,0,Nigel Central
,0,
1150000,0,Bartlett
,0,
6989999,0,Toekomsrus
,0,
1595000,0,Linksfield North
,0,
795000,0,Morning Hill
,0,
2500000,0,Ebony Park
,0,
2600000,0,Malvern
,0,
1800000,0,Vanderbijlpark CE 4
,0,
890000,0,Die Hoewes
,0,
2750000,0,Alexandra
,0,
349000,0,Olievenhoutbosch
,0,
1700000,0,North Riding
,0,
1450000,0,Dorandia
,0,
2725000,0,Kelland
,0,
2699000,0,Vosloorus
,0,
8490000,0,Davidsonville
,0,
729000,0,Kloofendal
,0,
2100000,0,Constantia Kloof
,0,
2000000,0,Greenhills
,0,
780000,0,Corlett Gardens
,0,
1090000,0,Esther Park
,0,
815560,0,Fourways Gardens
,0,
795000,0,Zwartkop
,0,
680000,0,Unitas Park
,0,
2029075,0,Soshanguve VV
,0,
5350000,0,Carlswald
,0,
687000,0,Kameeldrift East
,0,
3050000,0,Thatch Hill Estate
,0,
1299000,0,North Riding AH
,0,
699000,0,Heatherdale AH
,0,
1699000,0,Boksburg Central
,0,
4950000,0,Houghton Estate
,0,
900000,0,Kyalami Hills
,0,
699000,0,Midlands Estate
,0,
1610963,0,Ridgeway
,0,
1160000,0,Vanderbijlpark CW 6
,0,
2399000,0,Farrarmere
,0,
1395000,0,Terenure
,0,
1160000,0,Doornpoort
,0,
591000,0,Vanderbijlpark CE 3
,0,
1799999,0,Soshanguve VV
,0,
920000,0,Vosloorus
,0,
1980000,0,Blair Atholl Golf Estate
,0,
1595000,0,Soshanguve DD
,0,
970000,0,Riverlea
,0,
700000,0,Highlands North
,0,
841337,0,Three Rivers Proper
,0,
1021575,0,Krugersdorp West
,0,
1590000,0,Westdene
,0,
2480000,0,Queenswood
,0,
900000,0,Brenthurst
,0,
4430000,0,Brakpan Central
,0,
4350000,0,Oberholzer
,0,
2995000,0,Noordheuwel
,0,
450000,0,Elspark
,0,
1150000,0,Randjesfontein AH
,0,
1790000,0,Welverdiend
,0,
2495000,0,Rietondale
,0,
1700000,0,Sydenham
,0,
2399000,0,Norwood
,0,
3380000,0,Bryanston
,0,
1699000,0,Illovo
,0,
670000,0,Mamelodi East
,0,
610000,0,Morningside
,0,
2650000,0,Sebokeng Zone 7
,0,
1850000,0,Olievenhoutbosch
,0,
6450000,0,Palm Ridge
,0,
7900000,0,Bryanston
,0,
1750000,0,Wilro Park
,0,
3200000,0,Sebokeng Central
,0,
1495000,0,Brenthurst
,0,
4499000,0,Randpark Ridge
,0,
1510212,0,President Park
,0,
1580000,0,Rietfontein
,0,
190000,0,Willow Acres Ext 9
,0,
1890000,0,North Riding
,0,
540000,0,Three Rivers East
,0,
12795000,0,Bedworth Park
,0,
2650000,0,Constantia Kloof
,0,
2150000,0,Linden
,0,
1495000,0,Danville
,0,
2100000,0,Menlo Park
,0,
2300000,0,Morningside
,0,
989000,0,Ormonde
,0,
8450000,0,The Orchards
,0,
3800000,0,Tembisa Central
,0,
29500000,0,Fontainebleau
,0,
3550000,0,Roodekrans
,0,
10500000,0,Thatchfield Estate
,0,
1270000,0,Brenthurst
,0,
450000,0,Liefde En Vrede
,0,
2550000,0,Bloubosrand
,0,
1550990,0,Lotus Gardens
,0,
550000,0,Ibazelo
,0,
4299000,0,Falcon Ridge
,0,
1000000,0,Castleview
,0,
3375000,0,Mulbarton
,0,
1699000,0,Duncanville
,0,
1400000,0,Vanderbijlpark CW 3
,0,
5500000,0,Birchleigh North
,0,
5200000,0,Centurion Golf Estate
,0,
527725,0,Pretoria North
,0,
3450000,0,Olympus AH
,0,
6995000,0,Clubview West
,0,
2995000,0,Douglasdale
,0,
764612,0,Dunnottar
,0,
741000,0,Claremont
,0,
4995000,0,Dobsonville
,0,
1240000,0,Brackenhurst
,0,
1500000,0,Culemborg Park
,0,
1247000,0,Bram Fischerville
,0,
2650000,0,Dunnottar
,0,
2500000,0,Yeoville
,0,
1850000,0,Vanderbijlpark CE7
,0,
499999,0,Waterlake Farm Lifestyle Estate
,0,
2300000,0,Montana
,0,
980000,0,Amandasig
,0,
1550000,0,Risiville
,0,
6150000,0,Savanna City
,0,
5500000,0,Primrose
,0,
1680000,0,Rothdene
,0,
1549999,0,Beverley
,0,
2499000,0,Soshanguve East
,0,
850000,0,Palm Ridge
,0,
1245000,0,Bryanston
,0,
1599000,0,Savanna City
,0,
5300000,0,Orange Farm
,0,
1920000,0,Noordheuwel
,0,
880000,0,Brakpan Central
,0,
990000,0,Laudium Ext 2
,0,
2199999,0,Heidelberg Kloof Estate
,0,
3450000,0,Mohlakeng
,0,
1899000,0,Eastleigh
,0,
895000,0,Annlin
,0,
2500000,0,Equestria
,0,
10999000,0,Bronkhorstbaai
,0,
0,0,Morningside
,0,
1999000,0,South Hills
,0,
2950000,0,Soshanguve L
,0,
1155000,0,Kenilworth
,0,
880000,0,Vanderbijlpark SE 3
,0,
3800000,0,Parktown
,0,
1330000,0,Parkdene
,0,
1280000,0,Beyers Park
,0,
7950000,0,Rondebult
,0,
11600000,0,Sky City
,0,
2890000,0,Orchards
,0,
649000,0,Dobsonville Gardens
,0,
890000,0,Cultura Park
,0,
3450000,0,Oriel
,0,
650000,0,Pine Park
,0,
3040000,0,Selection Park
,0,
1460000,0,Alliance
,0,
5450000,0,Van Der Merwes Kroon
,0,
8000000,0,Zwavelpoort AH
,0,
1100000,0,Ililiba
,0,
0,0,Thatchfield Close
,0,
695000,0,Evaton Central
,0,
600000,0,Robindale
,0,
